State,County,Total_List,Cancelled,Cancelled_,Postponed,Postponed_,TotalFallout,Total_Fallout_,Pending_OutbidNC,Pending_Sales_Results,BTS_from_total_list,BTS
,Rio Blanco,2,0,0,1,50,1,50,0,0,50.0,1
,Rio Grande,1,0,0,,0,0,,0,0,100.0,1
,Routt,4,1,25,2,50,3,75,,1,25.0,1
,Sedgwick,1,0,0,,0,0,,0,0,100.0,1
,Summit,2,1,50,0,0,1,50,,1,50.0,1
,Teller,14,2,14,11,79,13,93,0,0,7.1,1
,Weld,96,24,25,66,69,90,94,0,0,6.3,6
,Yuma,2,1,50,1,50,2,100,0,0,0.0,
Connecticut,,5,1,20,0,0,1,20,,3,80.0,4
,Hartford,2,1,50,0,0,1,50,0,0,50.0,1
,Middlesex,1,0,0,,0,0,,,1,100.0,1
,New Haven,2,0,0,,0,0,,,2,100.0,2
Delaware,,43,20,47,0,0,20,47,,1,53.5,23
,Kent,16,7,44,0,0,7,44,,1,56.3,9
,New Castle,20,8,40,0,0,8,40,0,0,60.0,12
,Sussex,7,5,71,0,0,5,71,0,0,28.6,2
Florida,,15446,7091,46,0,0,7091,46,,190,54.1,8355
,Alachua,105,37,35,0,0,37,35,,2,64.8,68
,Baker,11,4,36,0,0,4,36,,2,63.6,7
,Bay,114,19,17,0,0,19,17,,2,83.3,95
,Bradford,8,2,25,0,0,2,25,,1,75.0,6
,Brevard,347,110,32,0,0,110,32,,6,68.3,237
,Broward,2309,1566,68,0,0,1566,68,,18,32.2,743
,Calhoun,3,2,67,0,0,2,67,0,0,33.3,1
,Charlotte,178,51,29,0,0,51,29,,2,71.3,127
,Citrus,141,32,23,0,0,32,23,0,0,77.3,109
,Clay,109,32,29,0,0,32,29,,1,70.6,77
,Collier,80,33,41,0,0,33,41,,4,58.8,47
,Columbia,15,5,33,0,0,5,33,,1,66.7,10
,De Soto,11,5,45,0,0,5,45,0,0,54.5,6
,Desoto,2,1,50,0,0,1,50,0,0,50.0,1
,Dixie,3,1,33,0,0,1,33,0,0,66.7,2
,Duval,989,465,47,0,0,465,47,,11,53.0,524
,Escambia,167,59,35,0,0,59,35,,1,64.7,108
,Flagler,65,25,38,0,0,25,38,0,0,61.5,40
,Franklin,6,1,17,0,0,1,17,0,0,83.3,5
,Gadsden,12,4,33,0,0,4,33,0,0,66.7,8
,Gilchrist,7,1,14,0,0,1,14,0,0,85.7,6
,Glades,5,1,20,0,0,1,20,0,0,80.0,4
,Gulf,3,0,0,,0,0,,0,0,100.0,3
,Hamilton,1,0,0,,0,0,,,1,100.0,1
,Hardee,2,1,50,0,0,1,50,0,0,50.0,1
